City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Faanui,PF,2020-02-18 04:51:01,-16.48,-151.75,82.53,76,85,13.22
263,Chauk,MM,2020-02-18 04:51:01,20.88,94.82,88.03,21,0,10.87
264,Yadgir,IN,2020-02-18 04:51:02,16.77,77.13,88.75,16,38,7.31
265,Palmer,US,2020-02-18 04:51:02,42.16,-72.33,28.99,79,75,2.37
266,Russell,US,2020-02-18 04:51:02,32.35,-85.2,57.99,100,90,5.82
267,Mahanoro,MG,2020-02-18 04:51:02,-19.9,48.8,78.91,81,51,6.49
268,Sainte-Rose,GP,2020-02-18 04:51:03,16.33,-61.7,75.2,78,8,6.93
269,Portland,US,2020-02-18 04:50:02,45.52,-122.68,41.0,80,20,4.7
270,Claremore,US,2020-02-18 04:49:00,36.31,-95.62,54.0,87,1,3.36
271,Port Moresby,PG,2020-02-18 04:51:03,-9.44,147.18,89.6,70,40,17.22
272,Georgetown,MY,2020-02-18 04:51:04,5.41,100.34,89.6,55,20,3.36
273,Qasigiannguit,GL,2020-02-18 04:51:04,68.82,-51.19,8.6,65,91,10.29
274,Zhigansk,RU,2020-02-18 04:51:04,66.77,123.37,-14.08,92,68,1.97
275,Srikakulam,IN,2020-02-18 04:51:04,18.3,83.9,89.24,40,0,1.95
276,Smithers,CA,2020-02-18 04:51:05,54.78,-127.17,24.8,79,20,2.24
277,Hollola,FI,2020-02-18 04:51:05,61.03,25.38,39.99,99,96,5.01
278,Nanortalik,GL,2020-02-18 04:51:05,60.14,-45.24,20.21,60,53,8.61
279,Eureka,US,2020-02-18 04:51:05,40.8,-124.16,45.0,93,1,4.09
280,Cabo San Lucas,MX,2020-02-18 04:50:51,22.89,-109.91,69.01,40,40,6.93
281,Beringovskiy,RU,2020-02-18 04:51:06,63.05,179.32,-7.51,87,96,21.83
282,Guerrero Negro,MX,2020-02-18 04:51:06,27.98,-114.06,58.6,89,73,8.3
283,Bonfim,BR,2020-02-18 04:51:06,3.08,-59.95,79.39,65,62,11.48
284,Hambantota,LK,2020-02-18 04:51:07,6.12,81.12,84.2,62,0,9.17
285,Kokopo,PG,2020-02-18 04:51:07,-4.35,152.26,84.29,76,79,20.65
286,Ancud,CL,2020-02-18 04:51:07,-41.87,-73.82,48.2,93,20,4.7
287,Emerald,AU,2020-02-18 04:51:07,-23.53,148.17,95.0,46,75,5.82
288,Radnevo,BG,2020-02-18 04:51:07,42.3,25.93,26.6,92,5,0.89
